Age Month,January,February,March,April,May,June,July,August,September,October,November,December
18,F,M,F,M,M,M,M,M,M,M,M,M
19,M,F,M,F,F,M,M,F,M,M,F,F
20,F,M,F,M,M,M,M,M,M,F,M,M
21,M,F,F,F,F,F,F,F,F,F,F,F
22,F,M,M,F,M,F,F,M,F,F,F,F
23,M,M,M,F,M,M,F,F,F,M,M,F
24,M,F,F,M,M,F,M,F,M,M,F,M
25,F,M,F,M,F,M,F,M,F,M,M,M
26,M,M,M,M,M,F,M,F,F,M,F,F
27,F,F,M,M,F,M,F,F,M,F,M,M
28,M,M,M,F,F,M,F,M,F,F,M,F
29,F,M,F,F,M,F,M,M,F,M,F,F
30,M,M,F,M,F,M,M,M,M,M,M,M
31,M,M,M,M,F,F,M,F,M,F,F,F
32,M,F,F,M,F,M,M,F,M,M,F,M
33,F,M,M,F,F,M,F,M,F,M,M,F
34,M,M,F,F,M,F,M,M,F,M,F,F
35,M,F,M,F,M,F,M,F,M,M,F,M
36,M,F,M,M,M,F,M,M,F,F,F,F
37,F,F,M,F,F,F,M,F,F,M,M,M
38,M,M,F,F,M,F,F,M,F,F,M,F
39,F,F,M,F,F,F,M,F,M,M,F,M
40,M,M,M,F,M,F,M,F,M,F,F,M
41,F,F,M,F,M,M,F,F,M,F,M,F
42,M,F,F,M,M,M,M,M,F,M,F,M
43,F,M,F,F,M,M,M,F,F,F,M,M
44,M,F,F,F,M,F,M,M,F,M,F,M
45,F,M,F,M,F,F,M,F,M,F,M,F